CAMPAIGN_NAME,CAMPAIGN_TYPE,OBJECTIVE,TOTAL_ORDERS,AVG_DISCOUNT_PERCENTAGE
Transition Integrated Architectures,DISCOUNT,RETENTION,5489,8.89
Matrix Turn-Key Supply-Chains,AWARENESS,BRAND AWARENESS,2212,3.18
Whiteboard Distributed Deliverables,DISCOUNT,RETENTION,5627,6.04
Engage Magnetic Technologies,AWARENESS,BRAND AWARENESS,3124,2.19
Strategize Front-End Bandwidth,PROMOTIONAL,RETENTION,4863,6.07
Implement Strategic Markets,PROMOTIONAL,BRAND AWARENESS,3242,6.07
Unleash Best-Of-Breed Web Services,LOYALTY,ACQUISITION,6371,4.91
Generate Dynamic Eyeballs,PROMOTIONAL,BRAND AWARENESS,3731,8.84
Enhance User-Centric Users,DISCOUNT,BRAND AWARENESS,3069,8.3
Repurpose Ubiquitous Web Services,PROMOTIONAL,ACQUISITION,5949,6.59
Enable Turn-Key Niches,AWARENESS,ACQUISITION,3341,3.13
Synergize Collaborative Deliverables,PROMOTIONAL,ENGAGEMENT,3799,6.18
Iterate Dot-Com Users,AWARENESS,ACQUISITION,3977,2.5
Maximize Distributed Markets,PROMOTIONAL,RETENTION,3633,6.27
Leverage Leading-Edge Eyeballs,DISCOUNT,BRAND AWARENESS,2303,6.74
Scale Sticky Communities,PROMOTIONAL,BRAND AWARENESS,3081,5.45
Orchestrate Cutting-Edge Technologies,DISCOUNT,ENGAGEMENT,3325,7.07
Syndicate Best-Of-Breed Architectures,LOYALTY,ENGAGEMENT,4053,4.62
Facilitate Open-Source Functionalities,DISCOUNT,ACQUISITION,4603,10.33
Synthesize Seamless Partnerships,AWARENESS,RETENTION,2269,1.73
Embrace Web-Enabled Bandwidth,AWARENESS,ENGAGEMENT,3756,3.0
Iterate Transparent Schemas,AWARENESS,ACQUISITION,3555,1.85
Matrix B2b Eyeballs,LOYALTY,RETENTION,4848,4.25
Deploy Holistic Technologies,LOYALTY,ACQUISITION,4263,5.29
Empower Out-Of-The-Box Functionalities,DISCOUNT,BRAND AWARENESS,3024,7.71
Architect Clicks-And-Mortar Schemas,AWARENESS,ACQUISITION,3859,2.12
Monetize User-Centric Users,AWARENESS,BRAND AWARENESS,1656,2.3
Deploy Front-End Content,LOYALTY,ACQUISITION,5527,5.02
Matrix Front-End Web-Readiness,LOYALTY,RETENTION,4420,4.08
Cultivate Back-End E-Markets,LOYALTY,RETENTION,4618,4.71
Deploy Extensible E-Tailers,AWARENESS,ACQUISITION,3216,2.68
Monetize Vertical Bandwidth,AWARENESS,RETENTION,4958,2.33
Scale Vertical Partnerships,DISCOUNT,RETENTION,5022,10.13
Re-Contextualize Bricks-And-Clicks Niches,AWARENESS,ACQUISITION,2805,2.97
Strategize Back-End Architectures,LOYALTY,ACQUISITION,5840,3.22
Aggregate Clicks-And-Mortar Metrics,AWARENESS,ACQUISITION,2658,2.75
Innovate Integrated Partnerships,LOYALTY,BRAND AWARENESS,3293,4.13
Empower End-To-End Architectures,AWARENESS,RETENTION,1818,3.08
Cultivate Interactive Infrastructures,AWARENESS,RETENTION,2338,2.26
Scale Synergistic E-Business,DISCOUNT,BRAND AWARENESS,3476,7.5
Streamline Collaborative Functionalities,PROMOTIONAL,RETENTION,5575,6.06
Architect Plug-And-Play E-Commerce,DISCOUNT,ENGAGEMENT,4202,8.64
Orchestrate Collaborative Models,PROMOTIONAL,ENGAGEMENT,4007,4.65
Re-Contextualize Innovative Networks,PROMOTIONAL,BRAND AWARENESS,3209,5.37
Visualize Web-Enabled Web Services,PROMOTIONAL,ACQUISITION,4328,5.25
Synthesize Robust Convergence,AWARENESS,BRAND AWARENESS,1893,2.33
Reinvent Clicks-And-Mortar Functionalities,AWARENESS,RETENTION,3053,3.54
Repurpose Innovative Applications,DISCOUNT,ACQUISITION,6677,8.11
Morph Dynamic Markets,AWARENESS,ENGAGEMENT,3007,2.03
Strategize Interactive Markets,LOYALTY,BRAND AWARENESS,2450,5.17
Reinvent Innovative Relationships,AWARENESS,ENGAGEMENT,2994,3.71
Harness Ubiquitous Bandwidth,LOYALTY,RETENTION,4558,5.25
Unleash Bricks-And-Clicks E-Tailers,LOYALTY,BRAND AWARENESS,2914,3.56
Mesh Rich Methodologies,PROMOTIONAL,BRAND AWARENESS,3654,5.24
Generate Robust Supply-Chains,LOYALTY,BRAND AWARENESS,3644,5.41
Cultivate One-To-One Niches,DISCOUNT,ACQUISITION,6447,6.81
Target B2b Initiatives,LOYALTY,ACQUISITION,4674,4.86
Innovate Synergistic Partnerships,PROMOTIONAL,BRAND AWARENESS,3205,6.29
Implement Bricks-And-Clicks Bandwidth,LOYALTY,ENGAGEMENT,4062,3.95
Incentivize Cross-Platform Mindshare,AWARENESS,BRAND AWARENESS,2824,2.63
Revolutionize Clicks-And-Mortar Methodologies,LOYALTY,ENGAGEMENT,3641,2.41
Cultivate Back-End Functionalities,AWARENESS,BRAND AWARENESS,2186,2.15
Enable 24/7 Applications,PROMOTIONAL,ENGAGEMENT,3419,5.43
Utilize Vertical Systems,LOYALTY,ACQUISITION,4423,3.74
Facilitate Open-Source Vortals,PROMOTIONAL,ENGAGEMENT,4557,7.0
Revolutionize Magnetic Communities,LOYALTY,ACQUISITION,6215,3.62
Synergize Distributed Interfaces,DISCOUNT,ENGAGEMENT,4022,7.12
Syndicate Ubiquitous Experiences,LOYALTY,BRAND AWARENESS,3632,4.65
Transform Turn-Key Channels,LOYALTY,ENGAGEMENT,4077,5.52
Target Granular Architectures,DISCOUNT,BRAND AWARENESS,2962,5.97
Architect Real-Time Mindshare,LOYALTY,ENGAGEMENT,4077,5.34
Re-Contextualize Granular Networks,AWARENESS,BRAND AWARENESS,3133,2.66
Syndicate Rich Convergence,AWARENESS,RETENTION,3403,2.17
Visualize Back-End Schemas,AWARENESS,RETENTION,4721,2.89
Streamline Compelling Eyeballs,DISCOUNT,BRAND AWARENESS,1757,7.87
Re-Contextualize E-Business Relationships,DISCOUNT,BRAND AWARENESS,3857,6.94
Mesh Strategic Bandwidth,AWARENESS,ENGAGEMENT,2836,2.69
Re-Contextualize Strategic Users,DISCOUNT,BRAND AWARENESS,3173,7.19
Drive 24/365 Convergence,PROMOTIONAL,BRAND AWARENESS,3401,5.74
Monetize One-To-One Relationships,DISCOUNT,BRAND AWARENESS,2143,8.41
Expedite Compelling Applications,PROMOTIONAL,BRAND AWARENESS,3249,6.96
Mesh Next-Generation Markets,LOYALTY,BRAND AWARENESS,3356,3.74
Synergize Clicks-And-Mortar Partnerships,LOYALTY,RETENTION,5752,5.98
Optimize Dot-Com Metrics,LOYALTY,BRAND AWARENESS,2982,3.27
Repurpose Magnetic E-Services,DISCOUNT,BRAND AWARENESS,2862,7.46
Empower Cross-Platform Paradigms,AWARENESS,BRAND AWARENESS,2012,2.95
Morph Out-Of-The-Box Architectures,DISCOUNT,ENGAGEMENT,4753,7.96
Incubate Proactive E-Tailers,DISCOUNT,RETENTION,5335,6.91
Redefine Scalable Vortals,PROMOTIONAL,ENGAGEMENT,3761,5.47
Morph World-Class Solutions,PROMOTIONAL,BRAND AWARENESS,3606,5.23
Target Vertical Relationships,AWARENESS,RETENTION,3512,2.36
E-Enable Extensible E-Commerce,LOYALTY,RETENTION,5426,5.13
Generate Web-Enabled Vortals,AWARENESS,ENGAGEMENT,2310,2.83
Transform Compelling Niches,PROMOTIONAL,ACQUISITION,5251,5.07
E-Enable Plug-And-Play Web Services,DISCOUNT,BRAND AWARENESS,3117,8.68
Monetize Innovative Communities,LOYALTY,RETENTION,3867,4.77
Facilitate Dynamic Supply-Chains,PROMOTIONAL,BRAND AWARENESS,3500,6.32
Visualize Rich Action-Items,PROMOTIONAL,ACQUISITION,5723,6.17
Evolve Proactive E-Tailers,LOYALTY,RETENTION,4808,4.01
Envisioneer World-Class Mindshare,AWARENESS,ENGAGEMENT,2622,2.38
Exploit Holistic Interfaces,AWARENESS,ACQUISITION,2482,3.03
Reinvent 24/365 Action-Items,PROMOTIONAL,ACQUISITION,5176,6.15
Expedite End-To-End Initiatives,LOYALTY,BRAND AWARENESS,3057,4.55
Transition Seamless Eyeballs,AWARENESS,ENGAGEMENT,2243,2.71
Incubate Clicks-And-Mortar Functionalities,PROMOTIONAL,ACQUISITION,5384,6.7
Incentivize Cutting-Edge Experiences,LOYALTY,ACQUISITION,5546,4.17
Leverage Value-Added Architectures,AWARENESS,RETENTION,4986,2.93
Transition Innovative Deliverables,AWARENESS,ENGAGEMENT,2895,2.56
Integrate Seamless E-Services,PROMOTIONAL,ACQUISITION,5720,5.46
Enable Next-Generation Schemas,DISCOUNT,RETENTION,4966,8.91
Morph Open-Source Functionalities,DISCOUNT,BRAND AWARENESS,2185,8.59
Morph Rich E-Business,PROMOTIONAL,RETENTION,5015,6.32
Re-Contextualize Viral Schemas,AWARENESS,RETENTION,3482,3.31
Repurpose Front-End Vortals,AWARENESS,ENGAGEMENT,4421,2.67
Engineer End-To-End E-Tailers,DISCOUNT,ENGAGEMENT,3933,8.43
Drive Scalable Technologies,PROMOTIONAL,RETENTION,5255,5.39
Grow Magnetic Vortals,DISCOUNT,ENGAGEMENT,4049,8.01
Engage One-To-One Platforms,PROMOTIONAL,ACQUISITION,4576,5.54
Synergize Web-Enabled Action-Items,PROMOTIONAL,ACQUISITION,6430,5.72
Monetize Intuitive Action-Items,DISCOUNT,BRAND AWARENESS,3815,8.33
Optimize Integrated Platforms,AWARENESS,ENGAGEMENT,3306,2.25
